symbol,company,sector,industry,headquaters
FDO,Family Dollar Stores,Consumer Discretionary,General Merchandise Stores,"Matthews, North Carolina"
FAST,Fastenal Co,Industrials,Building Products,"Winona, Minnesota"
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,"Memphis, Tennessee"
FIS,Fidelity National Information Services,Information Technology,Internet Software & Services,"Jacksonville, Florida"
FITB,Fifth Third Bancorp,Financials,Banks,"Cincinnati, Ohio"
FSLR,First Solar Inc,Information Technology,Semiconductors,"Tempe, Arizona"
FE,FirstEnergy Corp,Utilities,Electric Utilities,"Akron, Ohio"
FISV,Fiserv Inc,Information Technology,Internet Software & Services,"Brookfield, Wisconsin"
FLIR,FLIR Systems,Industrials,Aerospace & Defense,"Wilsonville, Oregon"
FLS,Flowserve Corporation,Industrials,Industrial Machinery,"Irving, Texas"
FLR,Fluor Corp.,Industrials,Diversified Commercial Services,"Irving, Texas"
FMC,FMC Corporation,Materials,Diversified Chemicals,"Philadelphia, Pennsylvania"
FTI,FMC Technologies Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas"
F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan"
FOSL,"Fossil, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Richardson, Texas"
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California"
FCX,Freeport-McMoran Cp & Gld,Materials,Diversified Metals & Mining,"Phoenix, Arizona"
FTR,Frontier Communications,Telecommunications Services,Integrated Telecommunications Services,"Stamford, Connecticut"
GME,GameStop Corp.,Consumer Discretionary,Computer & Electronics Retail,"Grapevine, Texas"
GCI,Gannett Co.,Consumer Discretionary,Publishing,"McLean, Virginia"
GPS,Gap (The),Consumer Discretionary,Apparel Retail,"San Francisco, California"
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland"
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia"
GE,General Electric,Industrials,Industrial Conglomerates,"Fairfield, Connecticut"
GGP,General Growth Properties Inc.,Financials,REITs,"Chicago, Illinois"
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota"
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan"
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia"
GNW,Genworth Financial Inc.,Financials,Life & Health Insurance,"Richmond, Virginia"
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California"
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,"New York, New York"
GT,Goodyear Tire & Rubber,Consumer Discretionary,Tires & Rubber,"Akron, Ohio"
GOOGL,Google Inc Class A,Information Technology,Internet Software & Services,"Mountain View, California"
GOOG,Google Inc Class C,Information Technology,Internet Software & Services,"Mountain View, California"
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Materials,"Lake Forest, Illinois"
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,"Houston, Texas"
HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina"
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin"
HAR,Harman Int'l Industries,Consumer Discretionary,Consumer Electronics,"Stamford, Connecticut"
HRS,Harris Corporation,Information Technology,Telecommunications Equipment,"Melbourne, Florida"
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,"Hartford, Connecticut"
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island"
HCA,HCA Holdings,Health Care,Health Care Facilities,"Nashville, Tennessee"
HCP,HCP Inc.,Financials,REITs,"Long Beach, California"
HCN,"Health Care REIT, Inc.",Financials,REITs,"Toledo, Ohio[5]"
HP,Helmerich & Payne,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[6]"
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York, New York"
HPQ,Hewlett-Packard,Information Technology,Computer Hardware,"Palo Alto, California"
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Cobb County, Georgia"
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,"Morristown, New Jersey"
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota"
HSP,Hospira Inc.,Health Care,Health Care Equipment & Services,"Lake Forest, Illinois"
HST,Host Hotels & Resorts,Financials,REITs,"Bethesda, Maryland"
HCBK,Hudson City Bancorp,Financials,Thrifts & Mortgage Finance,"Paramus, New Jersey"
HUM,Humana Inc.,Health Care,Managed Health Care,"Louisville, Kentucky"
HBAN,Huntington Bancshares,Financials,Banks,"Columbus, Ohio"
ITW,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois"
IR,Ingersoll-Rand PLC,Industrials,Industrial Conglomerates,"Dublin, Ireland"
TEG,Integrys Energy Group Inc.,Utilities,MultiUtilities,"Chicago, Illinois"
INTC,Intel Corp.,Information Technology,Semiconductors,"Santa Clara, California"
ICE,Intercontinental Exchange,Financials,Diversified Financial Services,"Atlanta, Georgia"
IBM,International Bus. Machines,Information Technology,IT Consulting & Services,"Armonk, New York"
IP,International Paper,Materials,Paper Products,"Memphis, Tennessee"
IPG,Interpublic Group,Consumer Discretionary,Advertising,"New York, New York"
IFF,Intl Flavors & Fragrances,Materials,Specialty Chemicals,"New York, New York"
INTU,Intuit Inc.,Information Technology,Internet Software & Services,"Mountain View, California"
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment & Services,"Sunnyvale, California"
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,"Atlanta, Georgia"
IRM,Iron Mountain Incorporated,Industrials,Data Processing Services,"Boston, Massachusetts"
JEC,Jacobs Engineering Group,Industrials,Industrial Conglomerates,"Pasadena, California"
JNJ,Johnson & Johnson,Health Care,Health Care Equipment & Services,"New Brunswick, New Jersey"
JCI,Johnson Controls,Consumer Discretionary,Auto Parts & Equipment,"Milwaukee, Wisconsin"
JOY,Joy Global Inc.,Industrials,Industrial Machinery,"Milwaukee, Wisconsin"
JPM,JPMorgan Chase & Co.,Financials,Banks,"New York, New York"
JNPR,Juniper Networks,Information Technology,Networking Equipment,"Sunnyvale, California"
KSU,Kansas City Southern,Industrials,Railroads,"Kansas City, Missouri"
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan"
KEY,KeyCorp,Financials,Banks,"Cleveland, Ohio"
GMCR,Keurig Green Mountain,Consumer Staples,Packaged Foods & Meats,"Waterbury, Vermont"
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas"
KIM,Kimco Realty,Financials,REITs,"New Hyde Park, New York"
KMI,Kinder Morgan,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas"
KLAC,KLA-Tencor Corp.,Information Technology,Semiconductor Equipment,"Milpitas, California"
KSS,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin"
KRFT,Kraft Foods Group,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois"
KR,Kroger Co.,Consumer Staples,Food Retail,"Cincinnati, Ohio"
LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,"Columbus, Ohio"
LLL,L-3 Communications Holdings,Industrials,Industrial Conglomerates,"New York, New York"
LH,Laboratory Corp. of America Holding,Health Care,Health Care Facilities,"Burlington, North Carolina"
LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California"
LM,Legg Mason,Financials,Asset Management & Custody Banks,"Baltimore, Maryland"
LEG,Leggett & Platt,Industrials,Industrial Conglomerates,"Carthage, Missouri"
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,"Miami, Florida"
LVLT,Level 3 Communications,Telecommunications Services,Alternative Carriers,"Broomfield, Colorado"
LUK,Leucadia National Corp.,Financials,Multi-Sector Holdings,"New York, New York"
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,"Indianapolis, Indiana"
LNC,Lincoln National,Financials,Multi-line Insurance,"Radnor, Pennsylvania"
LLTC,Linear Technology Corp.,Information Technology,Semiconductors,"Milpitas, California"
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,"Bethesda, Maryland"
L,Loews Corp.,Financials,Multi-Sector Holdings,"New York, New York"
LO,Lorillard Inc.,Consumer Staples,Tobacco,"Greensboro, North Carolina"
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina"
LYB,LyondellBasell,Materials,Diversified Chemicals,"Rotterdam, Netherlands"
MTB,M&T Bank Corp.,Financials,Banks,"Buffalo, New York"
MAC,Macerich,Financials,Retail REITs,"Santa Monica, California"
M,Macy's Inc.,Consumer Discretionary,Department Stores,"Cincinnati, Ohio"
MNK,Mallinckrodt Plc,Health Care,Pharmaceuticals,"Dublin, Ireland"
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing & Transportation,"Findlay, Ohio"
MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland"
MMC,Marsh & McLennan,Financials,Insurance Brokers,"New York, New York"
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina"
MAS,Masco Corp.,Industrials,Building Products,"Taylor, Michigan"
MA,Mastercard Inc.,Information Technology,Internet Software & Services,"Harrison, New York"
MAT,Mattel Inc.,Consumer Discretionary,Leisure Products,"El Segundo, California"
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,"Sparks, Maryland"
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,"Oak Brook, Illinois"
MHFI,McGraw Hill Financial,Financials,Diversified Financial Services,"New York, New York"
MCK,McKesson Corp.,Health Care,Health Care Distributors & Services,"San Francisco, California"
MJN,Mead Johnson,Consumer Staples,Packaged Foods & Meats,"Glenview, Illinois"
MWV,MeadWestvaco Corporation,Materials,Paper Packaging,"Richmond, Virginia"
MDT,Medtronic plc,Health Care,Health Care Equipment & Services,"Dublin, Ireland"
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey"
MET,MetLife Inc.,Financials,Life & Health Insurance,"New York, New York"
KORS,Michael Kors Holdings,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York"
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona"
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho"
MSFT,Microsoft Corp.,Information Technology,Systems Software,"Redmond, Washington"
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Amsterdam, New York"
TAP,Molson Coors Brewing Company,Consumer Staples,Brewers,"Denver, Colorado"
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois"
MON,Monsanto Co.,Materials,Fertilizers & Agricultural Chemicals,"Creve Coeur, Missouri"
MNST,Monster Beverage,Consumer Staples,Soft Drinks,"Corona, California"
MCO,Moody's Corp,Financials,Diversified Financial Services,"New York, New York"
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York, New York"
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,"Plymouth, Minnesota"
MSI,Motorola Solutions Inc.,Information Technology,Telecommunications Equipment,"Schaumburg, Illinois"
MUR,Murphy Oil,Energy,Integrated Oil & Gas,"El Dorado, Arkansas"
MYL,Mylan N.V.,Health Care,Pharmaceuticals,"Amsterdam, Netherlands"
NDAQ,NASDAQ OMX Group,Financials,Diversified Financial Services,"New York, New York"
NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas"
NAVI,Navient,Financials,Consumer Finance,"Newark, Delaware"
NTAP,NetApp,Information Technology,Internet Software & Services,"Sunnyvale, California"
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,"Los Gatos, California"
NWL,Newell Rubbermaid Co.,Consumer Discretionary,Housewares & Specialties,"Sandy Springs, Georgia"
NFX,Newfield Exploration Co,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
NEM,Newmont Mining Corp. (Hldg. Co.),Materials,Gold,"Denver, Colorado"
NWSA,News Corp.,Consumer Discretionary,Publishing,"New York, New York"
NEE,NextEra Energy,Utilities,MultiUtilities,"Juno Beach, Florida"
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,"New York, New York"
NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon"
NI,NiSource Inc.,Utilities,MultiUtilities,"Merrillville, Indiana"
NE,Noble Corp,Energy,Oil & Gas Drilling,"Geneva, Switzerland"
NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
JWN,Nordstrom,Consumer Discretionary,Department Stores,"Seattle, Washington"
NSC,Norfolk Southern Corp.,Industrials,Railroads,"Norfolk, Virginia"
NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,"Chicago, Illinois"
NOC,Northrop Grumman Corp.,Industrials,Aerospace & Defense,"West Falls Church, Virginia"
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey"
NUE,Nucor Corp.,Materials,Steel,"Charlotte, North Carolina"
NVDA,Nvidia Corporation,Information Technology,Semiconductors,"Santa Clara, California"
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,"Springfield, Missouri"
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Los Angeles, California"
OMC,Omnicom Group,Consumer Discretionary,Advertising,"New York, New York"
OKE,ONEOK,Energy,Oil & Gas Exploration & Production,"Tulsa, Oklahoma"
ORCL,Oracle Corp.,Information Technology,Application Software,"Redwood Shores, California"
OI,Owens-Illinois Inc,Materials,Metal & Glass Containers,"Perrysburg, Ohio"
PCAR,PACCAR Inc.,Industrials,Construction & Farm Machinery & Heavy Trucks,"Bellevue, Washington"
PLL,Pall Corp.,Industrials,Industrial Conglomerates,"Port Washington, New York"
PH,Parker-Hannifin,Industrials,Industrial Conglomerates,"Cleveland, Ohio"
PDCO,Patterson Companies,Health Care,Health Care Supplies,"St. Paul, Minnesota"
PAYX,Paychex Inc.,Information Technology,Internet Software & Services,"Penfield, New York"
PNR,Pentair Ltd.,Industrials,Industrial Conglomerates,"Worsley, U.K"
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut"
POM,Pepco Holdings Inc.,Utilities,Electric Utilities,Washington D.C
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,"Purchase, New York"
PKI,PerkinElmer,Health Care,Health Care Equipment & Services,"Waltham, Massachusetts"
PRGO,Perrigo,Health Care,Pharmaceuticals,"Dublin, Ireland"
PFE,Pfizer Inc.,Health Care,Pharmaceuticals,"New York, New York"
PCG,PG&E Corp.,Utilities,MultiUtilities,"San Francisco, California"
PM,Philip Morris International,Consumer Staples,Tobacco,"New York, New York"
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas"
PNW,Pinnacle West Capital,Utilities,MultiUtilities,"Phoenix, Arizona"
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,"Irving, Texas"
PBI,Pitney-Bowes,Industrials,Office Services & Supplies,"Stamford, Connecticut"
PCL,Plum Creek Timber Co.,Financials,REITs,"Seattle, Washington"
PNC,PNC Financial Services,Financials,Banks,"Pittsburgh, Pennsylvania"
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York"
PPG,PPG Industries,Materials,Diversified Chemicals,"Pittsburgh, Pennsylvania"
PPL,PPL Corp.,Utilities,Electric Utilities,"Allentown, Pennsylvania"
PX,Praxair Inc.,Materials,Industrial Gases,"Danbury, Connecticut"
PCP,Precision Castparts,Industrials,Industrial Conglomerates,"Portland, Oregon"
PCLN,Priceline.com Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut"
PFG,Principal Financial Group,Financials,Diversified Financial Services,"Des Moines, Iowa"
PG,Procter & Gamble,Consumer Staples,Personal Products,"Cincinnati, Ohio"
PGR,Progressive Corp.,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio"
PLD,Prologis,Financials,Diversified Financial Services,"San Francisco, California"
PRU,Prudential Financial,Financials,Diversified Financial Services,"Newark, New Jersey"
PEG,Public Serv. Enterprise Inc.,Utilities,Electric Utilities,"Newark, New Jersey"
PSA,Public Storage,Financials,REITs,"Glendale, California"
PHM,Pulte Homes Inc.,Consumer Discretionary,Homebuilding,"Atlanta, Georgia"
PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York"
QEP,QEP Resources,Energy,Oil & Gas Exploration & Production,"Denver, Colorado[7]"
PWR,Quanta Services Inc.,Industrials,Industrial Conglomerates,"Houston, Texas"
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,"San Diego, California"
DGX,Quest Diagnostics,Health Care,Health Care Facilities,"Madison, New Jersey"
RRC,Range Resources Corp.,Energy,Oil & Gas Exploration & Production,"Fort Worth, Texas"
RTN,Raytheon Co.,Industrials,Aerospace & Defense,"Waltham, Massachusetts"
O,Realty Income Corporation,Financials,Office REITs,"San Diego, California"
RHT,Red Hat Inc.,Information Technology,Systems Software,"Raleigh, North Carolina"
REGN,Regeneron,Health Care,Biotechnology,"Tarrytown, New York"
RF,Regions Financial Corp.,Financials,Diversified Financial Services,"Birmingham, Alabama"
RSG,Republic Services Inc,Industrials,Industrial Conglomerates,"Phoenix, Arizona"
RAI,Reynolds American Inc.,Consumer Staples,Tobacco,"Winston-Salem, North Carolina"
RHI,Robert Half International,Industrials,Human Resource & Employment Services,"Menlo Park, California"
ROK,Rockwell Automation Inc.,Industrials,Industrial Conglomerates,"Milwaukee, Wisconsin"
COL,Rockwell Collins,Industrials,Industrial Conglomerates,"Cedar Rapids, Iowa"
ROP,Roper Industries,Industrials,Industrial Conglomerates,"Sarasota, Florida"
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Pleasanton, California"
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Hotel, Resorts and Cruise Lines","Miami, Florida"
R,Ryder System,Industrials,Industrial Conglomerates,"Miami, Florida"
CRM,Salesforce.com,Information Technology,Internet Software & Services,"San Francisco, California"
SNDK,SanDisk Corporation,Information Technology,Computer Storage & Peripherals,"Milpitas, California"
SCG,SCANA Corp,Utilities,MultiUtilities,"Cayce, South Carolina"
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands"
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,Broadcasting & Cable TV,"Cincinnati, Ohio"
STX,Seagate Technology,Information Technology,Computer Storage & Peripherals,"Dublin, Ireland"
SEE,Sealed Air Corp.(New),Materials,Paper Packaging,"Elmwood Park, New Jersey"
SRE,Sempra Energy,Utilities,MultiUtilities,"San Diego, California"
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio"
SIAL,Sigma-Aldrich,Materials,Diversified Chemicals,"St. Louis, Missouri"
SPG,Simon Property Group Inc,Financials,REITs,"Indianapolis, Indiana"
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Woburn, Massachusetts"
SLG,SL Green Realty,Financials,Office REITs,"New York, New York"
SJM,Smucker (J.M.),Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio"
SNA,Snap-On Inc.,Consumer Discretionary,Household Appliances,"Kenosha, Wisconsin"
SO,Southern Co.,Utilities,Electric Utilities,"Atlanta, Georgia"
LUV,Southwest Airlines,Industrials,Airlines,"Dallas, Texas"
SWN,Southwestern Energy,Energy,Oil & Gas Exploration & Production,"Houston, Texas[8]"
SE,Spectra Energy Corp.,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas"
STJ,St Jude Medical,Health Care,Health Care Equipment & Services,"Little Canada, Minnesota"
SWK,Stanley Black & Decker,Consumer Discretionary,Household Appliances,"New Britain, Connecticut"
SPLS,Staples Inc.,Consumer Discretionary,Specialty Stores,"Framingham, Massachusetts"
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,"Seattle, Washington"
HOT,Starwood Hotels & Resorts,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","White Plains, New York"
STT,State Street Corp.,Financials,Diversified Financial Services,"Boston, Massachusetts"
SRCL,Stericycle Inc,Industrials,Industrial Conglomerates,"Lake Forest, Illinois"
SYK,Stryker Corp.,Health Care,Health Care Equipment & Services,"Kalamazoo, Michigan"
STI,SunTrust Banks,Financials,Banks,"Atlanta, Georgia"
SYMC,Symantec Corp.,Information Technology,Application Software,"Mountain View, California"
SYY,Sysco Corp.,Consumer Staples,Food Distributors,"Houston, Texas"
TROW,T. Rowe Price Group,Financials,Diversified Financial Services,"Baltimore, Maryland"
